cluster.index,componentindex,merge
25430,-1,X1410.1_8.4
22830,-1,X1411.2_8.4
22750,7,X1416_8.4
22754,-1,X1417.2_6.7
25472,-1,X1424.7_8.3
25492,-1,X1425.2_9.3
22835,468,X1432.6_8.4
12342,-1,X1439.9_5.3
14437,468,X1447_8.5
10710,-1,X1455.2_8.6
14328,-1,X1456.1_8.6
17400,-1,X1459.9_3.7
19084,-1,X1460.4_3.7
22518,-1,X1461_3.7
20558,-1,X1461.2_8.1
6497,-1,X1469.9_6.6
12199,-1,X1476.6_4.1
12505,-1,X1476.8_4.7
8402,-1,X1477.7_4.7
18421,-1,X1478.2_3.7
19211,-1,X1478.4_4.1
17387,-1,X1478.4_4.7
15721,-1,X1483.7_3.7
18216,-1,X1484.6_3.7
22999,-1,X1502.2_5.3
15349,-1,X1503.9_8.2
9367,-1,X1528.2_7
9405,-1,X1542.3_7.1
9987,-1,X1542.5_7.3
27761,-1,X1556.3_7.4
9870,-1,X1559.5_6.3
22941,-1,X1592_6.7
22794,-1,X1602.2_7
22762,-1,X1603.7_7
22807,-1,X1605.9_6.6
22784,-1,X1605.9_6.8
22769,293,X1611.7_6.6
9443,-1,X1616.9_7.1
10657,-1,X1619.7_6.8
22760,293,X1623.8_7.3
10647,293,X1625.8_6.8
10470,293,X1625.8_7
19099,236,X1628.9_8.9
19180,236,X1628.9_9.4
22797,-1,X1633.5_7.3
22756,-1,X1633.7_6.9
9390,-1,X1633.8_7.1
22755,-1,X1634.9_7.2
22761,293,X1637.8_7.5
9450,293,X1639.7_7.3
10455,293,X1640.4_7
22765,293,X1641.6_7.2
27554,-1,X1648.2_7.3
22783,293,X1653.9_7.4
30717,-1,X1751_5.7
21333,-1,X180.1_1.8
10737,9,X180.3_1.6
8539,-1,X180.9_0.7
10926,-1,X180.9_0.9
16408,-1,X180.9_1.7
7537,-1,X180.9_1.9
7590,-1,X180.9_2.3
11578,1647,X180.9_2.7
7749,1193,X180.9_3.3
20487,526,X181.8_0.9
23763,526,X181.8_2.3
20463,-1,X181.9_0.7
9536,573,X181.9_1.3
5969,573,X181.9_1.6
5856,573,X181.9_1.8
7625,-1,X182_0.5
4507,-1,X182.8_9.7
3690,-1,X182.9_0.7
4403,-1,X182.9_1.7
1421,478,X182.9_3
4389,573,X183_2
7547,123,X183.6_0.9
7497,1017,X183.9_0.6
7725,-1,X183.9_1.2
21566,-1,X1835.4_5.6
22346,-1,X1836.2_5.6
23976,-1,X1836.7_5.6
23186,-1,X184.9_0.7
3836,1212,X184.9_1.3
1073,1212,X184.9_1.5
9250,-1,X184.9_1.7
1642,155,X184.9_1.9
3896,155,X184.9_2.5
23843,-1,X1840.2_5.6
22151,-1,X1841.2_5.6
1512,1402,X185_0.9
8627,-1,X185.9_0.9
19192,-1,X185.9_1.3
8792,603,X186.2_9.8
6158,1321,X186.5_10.1
6013,565,X186.7_0.9
24381,-1,X186.7_10.3
17143,1321,X186.7_9.8
11560,-1,X186.8_0.7
5589,478,X186.8_3.2
6050,478,X186.8_3.4
19268,-1,X186.9_1
6128,-1,X186.9_2.6
18914,-1,X186.9_2.9
22328,-1,X187.9_2.8
19236,-1,X188_0.9
18210,872,X188.1_3
3741,-1,X188.7_1.4
3730,-1,X188.7_1.5
4282,81,X188.8_1.1
25918,1749,X189_1
12946,-1,X189.9_0.8
15546,1193,X189.9_1.1
8704,329,X189.9_2.2
7489,-1,X1898.1_8.4
7126,-1,X190.4_0.9
14421,-1,X190.6_1.5
6402,-1,X190.9_0.7
9241,-1,X190.9_1.6
