ID,rep,merge.5,merge,species,cryo,GL_CSSC,zip.code.GPS,state,SPECIES_SOURCE
FYRE1_E-7_H-E12_GL40-A5.mzXML Peak area,b,GL40-A5b,GL40.A5b,brevicompactum,GL40-A5,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-8_H-F1_GL37-E4.mzXML Peak area,b,GL37-E4b,GL37.E4b,brevicompactum,GL37-E4,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-9_H-F2_GL39-B6.mzXML Peak area,b,GL39-B6b,GL39.B6b,brevicompactum,GL39-B6,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_F-2_H-F7_GL77-A8-B.mzXML Peak area,b,GL77-A8-Bb,GL77.A8.Bb,brevicompactum,GL77-A8-B,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_F-10_B-A8_GL76-E1.mzXML Peak area,a,GL76-E1a,GL76.E1a,expansum,GL76-E1,GL,lake michigan,lakes,expansum-GL
FYRE1_F-11_B-A9_GL82-G1.mzXML Peak area,a,GL82-G1a,GL82.G1a,expansum,GL82-G1,GL,lake michigan,lakes,expansum-GL
FYRE1_F-12_B-A10_GL23-F7.mzXML Peak area,a,GL23-F7a,GL23.F7a,expansum,GL23-F7,GL,lake michigan,lakes,expansum-GL
FYRE1_F-3_B-A1_GL105-D10.mzXML Peak area,a,GL105-D10a,GL105.D10a,expansum,GL105-D10,GL,lake michigan,lakes,expansum-GL
FYRE1_F-4_B-A2_Gl39-C1.mzXML Peak area,a,Gl39-C1a,Gl39.C1a,expansum,Gl39-C1,GL,lake michigan,lakes,expansum-GL
FYRE1_F-5_B-A3_GL38-D6.mzXML Peak area,a,GL38-D6a,GL38.D6a,expansum,GL38-D6,GL,lake michigan,lakes,expansum-GL
FYRE1_F-6_B-A4_GL101-F4.mzXML Peak area,a,GL101-F4a,GL101.F4a,expansum,GL101-F4,GL,lake michigan,lakes,expansum-GL
FYRE1_F-7_B-A5_GL102-D8.mzXML Peak area,a,GL102-D8a,GL102.D8a,expansum,GL102-D8,GL,lake michigan,lakes,expansum-GL
FYRE1_F-8_B-A6_GL39-F1.mzXML Peak area,a,GL39-F1a,GL39.F1a,expansum,GL39-F1,GL,lake michigan,lakes,expansum-GL
FYRE1_F-9_B-A7_GL85-D2.mzXML Peak area,a,GL85-D2a,GL85.D2a,expansum,GL85-D2,GL,lake michigan,lakes,expansum-GL
FYRE1_G-1_B-B1_GL37-G1.mzXML Peak area,a,GL37-G1a,GL37.G1a,expansum,GL37-G1,GL,lake michigan,lakes,expansum-GL
FYRE1_G-2_B-B2_GL39-A12.mzXML Peak area,a,GL39-A12a,GL39.A12a,expansum,GL39-A12,GL,lake michigan,lakes,expansum-GL
FYRE1_G-3_B-B3_GL79-D7.mzXML Peak area,a,GL79-D7a,GL79.D7a,expansum,GL79-D7,GL,lake michigan,lakes,expansum-GL
FYRE1_G-4_B-B4_GL40-D9.mzXML Peak area,a,GL40-D9a,GL40.D9a,expansum,GL40-D9,GL,lake michigan,lakes,expansum-GL
FYRE1_H-11_B-E1_GL105-D10.mzXML Peak area,b,GL105-D10b,GL105.D10b,expansum,GL105-D10,GL,lake michigan,lakes,expansum-GL
FYRE1_H-12_B-E2_Gl39-C1.mzXML Peak area,b,Gl39-C1b,Gl39.C1b,expansum,Gl39-C1,GL,lake michigan,lakes,expansum-GL
FYRE2_A-1_B-E3_GL38-D6.mzXML Peak area,b,GL38-D6b,GL38.D6b,expansum,GL38-D6,GL,lake michigan,lakes,expansum-GL
